software_name	version	mention_type	url	context_from_paper	source_url
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13110254/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12475289/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12805144/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10760001/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10955651/
GitHub		used	https://github.com/SysBioGTU/AsymAD_Transcriptomic_Profiles	The underlying code for this study is available on GitHub and can be accessed via this link: https://github.com/SysBioGTU/AsymAD_Transcriptomic_Profiles .	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12996523/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12204297/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13161881/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12212002/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12192201/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11557736/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12895082/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11772710/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11330222/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13109652/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13091107/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13016766/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12913073/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12457516/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13340103/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12805464/
CVTC		created	https://github.com/52hearts3/CVTC	Our code has been uploaded to GitHub ( https://github.com/52hearts3/CVTC ).	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12800134/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12505017/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13339541/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12187977/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12929348/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13131451/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12694578/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11559201/
DAD-MUG		created	https://github.com/compneurobio/DAD-MUG	All code used for the analyses in this study is available at https://github.com/compneurobio/DAD-MUG	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12934842/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10767283/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11888240/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12951793/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278229/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11299072/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11800584/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13284678/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13049996/
Resilience-prediction-RNA-seq		created	https://github.com/matsui-lab/Resilience-prediction-RNA-seq	Codes used for the current analysis are available at: https://github.com/matsui-lab/Resilience-prediction-RNA-seq .	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11383294/
					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10547150/
C-BIG repository		used	https://www.mcgill.ca/neuro/open-science/c-big-repository	The data are available through the Clinical Biospecimen Imaging and Genetic (C-BIG) repository ( https://www.mcgill.ca/neuro/open-science/c-big-repository )	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11253223/
PREVENT-AD repository		used	https://openpreventad.loris.ca/	the PREVENT-AD repository ( https://openpreventad.loris.ca/ and https://registeredpreventad.loris.ca )	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11253223/
